810,840
wall,15,15
wall,15,825
wall,45,15
wall,45,825
wall,75,15
wall,75,825
wall,105,15
wall,105,825
wall,135,15
wall,135,825
wall,165,15
wall,165,825
wall,195,15
wall,195,825
wall,225,15
wall,225,825
wall,255,15
wall,255,825
wall,285,15
wall,285,825
wall,315,15
wall,315,825
wall,345,15
wall,345,825
wall,375,15
wall,375,825
wall,405,15
wall,405,825
wall,435,15
wall,435,825
wall,465,15
wall,465,825
wall,495,15
wall,495,825
wall,525,15
wall,525,825
wall,555,15
wall,555,825
wall,585,15
wall,585,825
wall,615,15
wall,615,825
wall,645,15
wall,645,825
wall,675,15
wall,675,825
wall,705,15
wall,705,825
wall,735,15
wall,735,825
wall,765,15
wall,765,825
wall,795,15
wall,795,825
wall,15,15
wall,795,15
wall,15,45
wall,795,45
wall,15,75
wall,795,75
wall,15,105
wall,795,105
wall,15,135
wall,795,135
wall,15,165
wall,795,165
wall,15,195
wall,795,195
wall,15,225
wall,795,225
wall,15,255
wall,795,255
wall,15,285
wall,795,285
wall,15,315
wall,795,315
wall,15,345
wall,795,345
wall,15,375
wall,795,375
wall,15,405
wall,795,405
wall,15,435
wall,795,435
wall,15,465
wall,795,465
wall,15,495
wall,795,495
wall,15,525
wall,795,525
wall,15,555
wall,795,555
wall,15,585
wall,795,585
wall,15,615
wall,795,615
wall,15,645
wall,795,645
wall,15,675
wall,795,675
wall,15,705
wall,795,705
wall,15,735
wall,795,735
wall,15,765
wall,795,765
wall,15,795
wall,795,795
wall,15,825
wall,795,825
wall,165,705
wall,195,705
wall,225,705
wall,135,495
wall,165,495
wall,195,495
wall,225,495
wall,255,795
wall,255,765
wall,255,735
wall,255,705
wall,45,495
wall,75,495
wall,105,495
wall,405,705
wall,405,675
wall,435,705
wall,255,465
wall,285,465
wall,315,465
wall,255,525
wall,285,525
wall,315,525
wall,255,495
wall,315,495
wall,465,705
wall,495,705
wall,525,705
wall,405,495
wall,345,495
wall,375,495
wall,525,525
wall,525,495
wall,465,495
wall,435,495
wall,495,495
wall,525,555
wall,525,735
wall,525,765
wall,525,795
wall,705,795
wall,735,765
wall,765,735
wall,735,735
wall,705,765
wall,675,795
wall,555,585
wall,555,555
wall,555,615
wall,555,645
wall,585,585
wall,585,615
wall,585,645
wall,675,405
wall,705,405
wall,735,405
wall,765,405
wall,645,405
wall,345,465
wall,225,465
wall,375,465
wall,195,465
wall,435,465
wall,165,465
wall,135,465
wall,405,465
wall,45,465
wall,45,435
wall,45,405
wall,45,375
wall,75,465
wall,75,435
wall,75,405
wall,45,345
wall,105,465
wall,135,255
wall,165,255
wall,195,255
wall,195,225
wall,225,225
wall,255,225
wall,315,225
wall,345,225
wall,375,225
wall,375,255
wall,405,255
wall,735,165
wall,105,285
wall,135,285
wall,675,165
wall,645,165
wall,705,165
wall,735,195
wall,765,45
wall,750,75
wall,735,105
wall,675,45
wall,690,75
wall,705,105
wall,285,225
wall,765,195
shocker,285,705
shocker,315,705
shocker,345,705
shocker,375,705
shocker,525,645
shocker,525,615
shocker,525,585
shocker,255,435
shocker,285,435
shocker,315,435
shocker,345,435
shocker,225,435
shocker,195,435
shocker,375,435
gravObj_off,135,585,0,300000
gravObj_off,285,495,0,300000
gravObj_off,705,435,0,300000
gravObj_off,285,255,0,300000
gravObj_off,495,45,0,300000
exit,765,165
player,37,790
