810,420
wall,112,382
wall,140,384
wall,171,384
wall,198,383
wall,227,384
wall,256,384
wall,285,384
wall,316,384
wall,341,384
wall,373,384
wall,402,384
wall,431,384
wall,457,384
wall,487,384
wall,85,384
wall,59,384
wall,31,384
wall,15.5,384
shocker,516,384
shocker,545,384
shocker,575,384
shocker,604,384
shocker,634,384
gravObj_on,283,18,0,300000
exit,755,340
player,37,350;
810,420
wall,0,15
wall,0,385
wall,30,15
wall,30,385
wall,60,15
wall,60,385
wall,90,15
wall,90,385
wall,120,15
wall,120,385
wall,150,15
wall,150,385
wall,180,15
wall,180,385
wall,210,15
wall,210,385
wall,240,15
wall,240,385
wall,270,15
wall,270,385
wall,300,15
wall,252,355
wall,330,15
wall,277,324
wall,360,15
wall,568,321
wall,390,15
wall,593,354
wall,420,15
wall,547,293
wall,450,15
wall,574,295
wall,480,15
wall,539,322
wall,510,15
wall,564,353
wall,540,15
wall,540,385
wall,570,15
wall,570,385
wall,600,15
wall,600,385
wall,630,15
wall,630,385
wall,660,15
wall,660,385
wall,690,15
wall,690,385
wall,720,15
wall,720,385
wall,750,15
wall,750,385
wall,780,15
wall,780,385
wall,15,0
wall,785,0
wall,15,30
wall,785,30
wall,15,60
wall,785,60
wall,15,90
wall,785,90
wall,15,120
wall,785,120
wall,15,150
wall,785,150
wall,15,180
wall,785,180
wall,15,210
wall,785,210
wall,15,240
wall,785,240
wall,15,270
wall,785,270
wall,15,300
wall,785,300
wall,15,330
wall,785,330
wall,15,360
wall,785,360
wall,15,390
wall,785,390
wall,278,355
wall,536,353
wall,252,330
wall,280,296
wall,253,298
wall,222,354
shocker,299,384
shocker,329,384
shocker,358,384
shocker,389,384
shocker,419,384
shocker,448,384
shocker,478,384
shocker,509,384
gravObj_on,405,47,0,300000
exit,755,340
player,37,350;
810,420
wall,0,15
wall,0,385
wall,30,15
wall,30,385
wall,60,15
wall,60,385
wall,90,15
wall,90,385
wall,120,15
wall,120,385
wall,150,15
wall,150,385
wall,180,15
wall,180,385
wall,210,15
wall,210,385
wall,240,15
wall,240,385
wall,270,15
wall,300,15
wall,330,15
wall,360,15
wall,390,15
wall,420,15
wall,450,15
wall,480,15
wall,510,15
wall,540,15
wall,570,15
wall,570,385
wall,600,15
wall,600,385
wall,630,15
wall,630,385
wall,660,15
wall,660,385
wall,690,15
wall,690,385
wall,720,15
wall,720,385
wall,750,15
wall,750,385
wall,780,15
wall,780,385
wall,15,0
wall,785,0
wall,15,30
wall,785,30
wall,15,60
wall,785,60
wall,15,90
wall,785,90
wall,15,120
wall,785,120
wall,15,150
wall,785,150
wall,15,180
wall,785,180
wall,15,210
wall,785,210
wall,15,240
wall,785,240
wall,15,270
wall,785,270
wall,15,300
wall,785,300
wall,15,330
wall,785,330
wall,15,360
wall,785,360
wall,15,390
wall,785,390
wall,240,354
wall,240,322
wall,240,290
wall,209,354
wall,209,323
wall,180,353
wall,570,353
wall,570,321
wall,570,290
wall,601,354
wall,601,323
wall,631,353
shocker,271,384
shocker,302,384
shocker,332,384
shocker,363,384
shocker,394,384
shocker,424,384
shocker,455,384
shocker,486,384
shocker,517,384
shocker,539,384
gravObj_on,401,46,0,300000
exit,755,340
player,37,350;
810,420
wall,0,15
wall,0,385
wall,30,15
wall,30,385
wall,60,15
wall,60,385
wall,90,15
wall,90,385
wall,120,15
wall,120,385
wall,150,15
wall,150,385
wall,180,15
wall,180,385
wall,210,15
wall,210,385
wall,240,15
wall,240,385
wall,270,15
wall,270,385
wall,300,15
wall,330,15
wall,360,15
wall,390,15
wall,420,15
wall,450,15
wall,480,15
wall,510,15
wall,540,15
wall,540,385
wall,570,15
wall,570,385
wall,600,15
wall,600,385
wall,630,15
wall,630,385
wall,660,15
wall,660,385
wall,690,15
wall,690,385
wall,720,15
wall,720,385
wall,750,15
wall,750,385
wall,780,15
wall,780,385
wall,15,0
wall,785,0
wall,15,30
wall,785,30
wall,15,60
wall,785,60
wall,15,90
wall,785,90
wall,15,120
wall,785,120
wall,15,150
wall,785,150
wall,15,180
wall,785,180
wall,15,210
wall,785,210
wall,15,240
wall,785,240
wall,15,270
wall,785,270
wall,15,300
wall,785,300
wall,15,330
wall,785,330
wall,15,360
wall,785,360
wall,15,390
wall,785,390
wall,270,353
wall,270,321
wall,239,353
wall,239,321
wall,208,353
wall,540,353
wall,540,321
wall,571,353
wall,571,321
wall,602,353
shocker,301,384
shocker,332,384
shocker,363,384
shocker,394,384
shocker,424,384
shocker,455,384
shocker,486,384
shocker,509,384
gravObj_off,105,47,0,300000
gravObj_off,699,47,0,300000
gravObj_on,404,47,0,300000
exit,755,340
player,37,350;
810,420
wall,0,15
wall,0,385
wall,30,15
wall,30,385
wall,60,15
wall,60,385
wall,90,15
wall,90,385
wall,120,15
wall,120,385
wall,150,15
wall,150,385
wall,180,15
wall,180,385
wall,210,15
wall,210,385
wall,240,15
wall,240,385
wall,270,15
wall,270,385
wall,300,15
wall,300,385
wall,330,15
wall,299.99999993030826,353
wall,360,15
wall,630.9999999991396,289
wall,390,15
wall,600,257
wall,420,15
wall,631.0000000001912,321
wall,450,15
wall,599.9999999767698,353
wall,480,15
wall,661.9999999767698,353
wall,510,15
wall,630.9999999767698,353
wall,540,15
wall,600.0000000001912,321
wall,570,15
wall,662.0000000001912,321
wall,600,15
wall,600,385
wall,630,15
wall,630,385
wall,660,15
wall,660,385
wall,690,15
wall,690,385
wall,720,15
wall,720,385
wall,750,15
wall,750,385
wall,780,15
wall,780,385
wall,15,0
wall,785,0
wall,15,30
wall,785,30
wall,15,60
wall,785,60
wall,15,90
wall,785,90
wall,15,120
wall,785,120
wall,15,150
wall,785,150
wall,15,180
wall,785,180
wall,15,210
wall,785,210
wall,15,240
wall,785,240
wall,15,270
wall,785,270
wall,15,300
wall,785,300
wall,15,330
wall,785,330
wall,15,360
wall,785,360
wall,15,390
wall,785,390
wall,599.9999999991396,289
wall,692.9999999767698,353
wall,631,257
wall,268.99999993030826,353
wall,237.99999993030826,353
wall,206.99999993030826,353
wall,299.9999999999996,321
wall,268.9999999999996,321
wall,237.9999999999996,321
wall,300,289
wall,269,289
wall,300.0000018816764,257
wall,269.0000018816764,257
shocker,331,383.0000000696917
shocker,362,382.99999948899506
shocker,395,385
shocker,426.99999999999994,387.00000027876683
shocker,462.00411522633766,387.0000508112862
shocker,497.0000000000068,386.00000000001023
shocker,533,385.0370370972574
shocker,568,383
